Model,MAE,MSE,RMSE,Direction_Accuracy_%
Baseline RF,0.9284256364085528,1.5406143473335192,1.241214867512277,51.31578947368421
Optimized RF,0.9110657706253216,1.3014361088348392,1.1408050266521617,50.0
