,accuracy_pct,balanced_accuracy_pct,f1_macro,mae,mse,rmse
RandomForest,75.0,73.36917562724014,0.736832513213049,0.9736842105263158,1.8421052631578947,1.3572417850765923
GradientBoosting,67.10526315789474,66.20071684587813,0.6611378633850544,1.0526315789473684,1.9210526315789473,1.3860204297119676
